Cluster Name,RA,DEC,l,b,Rsun,ERsun,R_GC,RV,ERV,mualpha,mu_delta,rhopmrade,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,RAPO
NGC_5824,225.994156,-33.068138,332.555,22.071,31.71,0.60,25.42,-25.24,0.52,-1.193,0.010,-2.228  0.009  -0.20,-17.9,0.49,-13.55,0.26,11.92,0.23,97.4,0.96,-61.59,1.35,-179.17,1.35,13.94  1.19,34.99   1.61
Pal_5,229.019167,-0.121,0.839,45.856,21.94,0.51,17.27,-58.61,0.15,-2.754,0.017,-2.643  0.014   0.01,-7.1,0.36,0.22,0.01,15.74,0.37,49.28,1.16,-144.14,1.59,-10.2,1.13,8.88  1.20,17.54   0.61
NGC_5897,229.351659,-21.010122,342.946,30.294,12.55,0.24,7.41,101.31,0.22,-5.415,0.006,-3.392  0.006  -0.33,-2.18,0.19,-3.18,0.06,6.33,0.12,34.52,0.27,-129.35,0.34,91.18,0.32,2.45  0.22,8.83   0.29
NGC_5904,229.638412,2.081028,3.859,46.796,7.48,0.06,6.27,53.50,0.25,4.073,0.006,-9.872  0.006  -0.37,3.07,0.04,0.34,0.0,5.45,0.04,-301.43,0.23,89.62,0.22,-181.13,0.23,3.25  0.03,23.44   0.53
NGC_5927,232.002869,-50.673031,326.604,4.86,8.27,0.11,4.77,-104.09,0.28,-5.058,0.006,-3.186  0.006  -0.25,1.3,0.09,-4.54,0.06,0.7,0.01,205.0,0.27,114.22,0.25,7.05,0.23,4.03  0.01,5.48   0.07
NGC_5946,233.869051,-50.659713,327.583,4.191,9.64,0.51,5.20,137.60,0.94,-5.317,0.015,-1.639  0.015  -0.20,0.06,0.43,-5.16,0.27,0.7,0.04,7.2,0.88,-21.45,0.77,98.68,0.7,0.48  0.15,5.13   0.32
NGC_5986,236.512497,-37.786415,337.022,13.268,10.54,0.13,4.85,101.18,0.43,-4.180,0.017,-4.565  0.017  -0.15,-1.27,0.12,-4.0,0.05,2.42,0.03,8.15,0.53,-71.93,0.78,-13.39,0.81,0.54  0.08,5.03   0.09
FSR_1716,242.625,-53.748889,329.778,-1.593,7.43,0.27,4.14,-30.70,0.98,-4.407,0.029,-8.862  0.026  -0.11,1.76,0.23,-3.74,0.13,-0.21,0.01,182.51,0.98,-12.33,0.97,-115.33,0.97,2.35  0.10,4.90   0.13
Pal_14,242.7525,14.957778,28.746,42.192,73.58,1.63,68.55,72.30,0.14,-0.458,0.038,-0.414  0.037   0.23,-39.62,1.06,26.22,0.58,49.42,1.09,-99.22,9.79,77.43,12.14,122.42,9.68,3.75  0.92,500.00   0.00
Lynga_7,242.765213,-55.317776,328.769,-2.797,7.90,0.16,4.35,17.86,0.83,-3.836,0.061,-7.071  0.053   0.19,1.43,0.14,-4.09,0.08,-0.39,0.01,125.71,1.32,1.23,1.9,-89.33,2.11,1.79  0.07,4.38   0.08
NGC_6093,244.26004,-22.976084,352.673,19.463,10.34,0.12,3.95,10.93,0.39,-2.937,0.010,-5.577  0.010  -0.33,-1.49,0.11,-1.24,0.01,3.44,0.04,-9.1,0.4,-48.78,0.48,-62.97,0.47,0.87  0.07,4.07   0.07
NGC_6121,245.896744,-26.525749,350.973,15.972,1.85,0.02,6.45,71.22,0.13,-12.511,0.007,-19.017  0.007  -0.21,6.42,0.02,-0.28,0.0,0.51,0.0,-56.21,0.13,45.28,0.06,-3.04,0.07,0.62  0.07,6.52   0.13
NGC_6101,246.450485,-72.202194,317.746,-15.825,14.45,0.19,10.36,366.33,0.32,1.760,0.012,-0.252  0.012   0.07,-2.11,0.13,-9.35,0.12,-3.94,0.05,-297.01,0.63,83.88,0.67,-190.08,0.81,10.19  0.13,35.74   1.11
NGC_6144,246.80777,-26.0235,351.929,15.701,8.15,0.13,2.50,194.79,0.58,-1.737,0.017,-2.624  0.016  -0.22,0.41,0.12,-1.1,0.02,2.21,0.03,-184.47,0.58,106.09,0.63,43.41,0.63,1.89  0.10,3.11   0.05
NGC_6139,246.918466,-38.848782,342.366,6.939,10.04,0.45,3.51,24.41,0.95,-6.083,0.012,-2.705  0.012  -0.05,-1.32,0.43,-3.02,0.14,1.21,0.05,68.39,0.91,-29.37,0.63,130.82,0.59,1.32  0.23,3.58   0.30
Ter_3,247.162483,-35.339829,345.084,9.199,7.64,0.31,2.46,-135.76,0.57,-5.578,0.019,-1.748  0.018  -0.04,0.89,0.3,-1.94,0.08,1.22,0.05,181.97,0.58,113.2,0.65,89.05,0.67,2.40  0.05,2.88   0.08
NGC_6171,248.132752,-13.053778,3.373,23.011,5.63,0.08,3.74,-34.71,0.18,-1.936,0.007,-5.979  0.007  -0.02,3.0,0.07,0.3,0.0,2.2,0.03,-10.3,0.18,93.71,0.18,-57.7,0.18,1.21  0.03,3.83   0.03
ESO_452-SC11,249.854167,-28.399167,351.909,12.098,7.39,0.20,2.12,16.75,0.44,-1.437,0.024,-6.471  0.022  -0.25,1.03,0.19,-1.02,0.03,1.55,0.04,-20.8,0.48,43.24,0.8,-94.85,0.81,0.35  0.10,2.37   0.13
NGC_6205,250.421814,36.459862,59.007,40.913,7.42,0.08,8.64,-244.90,0.3,-3.138,0.006,-2.572  0.006   0.23,5.29,0.03,4.81,0.05,4.86,0.05,30.36,0.24,-14.96,0.26,-77.75,0.26,1.51  0.01,8.73   0.04
NGC_6229,251.745249,47.527796,73.639,40.306,30.11,0.47,29.45,-137.89,0.71,-1.156,0.017,-0.461  0.018   0.17,1.71,0.1,22.03,0.34,19.47,0.3,-7.59,2.53,30.75,1.77,45.79,1.93,1.43  0.20,30.36   0.40
NGC_6218,251.809067,-1.948528,15.715,26.313,5.11,0.05,4.57,-41.67,0.14,-0.198,0.005,-6.804  0.005   0.13,3.77,0.04,1.24,0.01,2.26,0.02,-49.03,0.14,114.68,0.13,-85.24,0.13,2.15  0.02,4.71   0.01
FSR_1735,253.044174,-47.058056,339.188,-1.853,9.08,0.53,3.25,-69.85,4.88,-4.570,0.054,-1.515  0.046  -0.11,-0.31,0.49,-3.23,0.19,-0.29,0.02,113.12,4.59,111.87,2.63,120.05,2.2,1.13  0.14,4.12   0.39
NGC_6235,253.355676,-22.177447,358.918,13.518,11.94,0.38,4.42,126.68,0.33,-3.942,0.032,-7.602  0.031  -0.13,-3.43,0.37,-0.22,0.01,2.79,0.09,-144.47,0.52,-227.91,1.76,-43.18,1.72,3.50  0.38,7.49   1.09
NGC_6254,254.28772,-4.100306,15.137,23.076,5.07,0.06,4.35,74.21,0.23,-4.763,0.011,-6.611  0.011  -0.07,3.68,0.06,1.22,0.02,1.99,0.03,-122.9,0.24,80.21,0.26,48.71,0.26,1.91  0.02,4.60   0.04
NGC_6256,254.886107,-37.120968,347.792,3.307,7.24,0.29,1.94,-99.75,0.66,-3.685,0.019,-1.634  0.018  -0.14,1.11,0.29,-1.53,0.06,0.42,0.02,115.73,0.66,154.69,0.63,66.43,0.64,1.42  0.22,2.18   0.03
Pal_15,254.9626,-0.539,18.849,24.337,44.10,1.14,37.28,72.27,1.74,-0.601,0.035,-0.855  0.029  -0.06,-29.85,0.98,12.98,0.33,18.17,0.47,-136.67,3.47,65.03,6.22,53.59,6.41,1.52  0.53,49.66   1.48
NGC_6266,255.304153,-30.11339,353.575,7.318,6.03,0.09,2.46,-73.98,0.67,-5.030,0.031,-3.004  0.031  -0.05,2.24,0.09,-0.67,0.01,0.77,0.01,87.09,0.68,106.94,0.89,59.64,0.89,1.08  0.06,2.69   0.07
NGC_6273,255.657486,-26.267971,356.869,9.382,8.34,0.16,1.43,145.54,0.59,-3.256,0.010,1.668  0.009   0.00,-0.04,0.16,-0.45,0.01,1.36,0.03,-129.95,0.59,221.75,0.38,171.75,0.38,1.22  0.04,3.29   0.10
NGC_6284,256.120114,-24.764799,358.347,9.939,14.21,0.42,6.32,28.62,0.73,-3.205,0.014,-2.004  0.014   0.10,-5.81,0.41,-0.4,0.01,2.45,0.07,-16.17,0.74,15.56,0.94,105.21,0.94,1.02  0.06,6.48   0.39
Gran_3,256.256,-35.496,349.756,3.423,11.47,0.75,3.76,94.87,1.58,-3.851,0.065,0.498  0.049  -0.18,-3.09,0.74,-2.04,0.13,0.68,0.04,-74.88,1.67,134.19,2.94,195.87,3.23,3.55  0.64,4.09   0.79
NGC_6287,256.288904,-22.708005,0.132,11.023,7.93,0.37,1.57,-294.74,1.65,-4.991,0.010,-1.886  0.009  -0.02,0.4,0.36,0.02,0.0,1.52,0.07,298.98,1.62,84.28,0.35,59.53,0.47,0.91  0.06,4.16   0.17
Patchick_126,256.410833,-47.342222,340.381,-3.826,8.00,0.50,2.81,-122.14,0.77,-4.859,0.038,-6.832  0.033  -0.04,0.66,0.47,-2.68,0.17,-0.53,0.03,210.96,0.85,-6.02,1.28,6.65,1.36,2.23  0.30,3.23   0.07
